--- NGROK LOGS ---
t=2026-04-23T14:47:41+0530 lvl=info msg="no configuration paths supplied"
t=2026-04-23T14:47:41+0530 lvl=info msg="using configuration at default config path" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml"
t=2026-04-23T14:47:41+0530 lvl=info msg="open config file" path="/Users/samarthsrivastava/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-04-23T14:47:41+0530 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-04-23T14:47:42+0530 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-04-23T14:47:42+0530 lvl=info msg="client session established" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-04-23T14:47:42+0530 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8000 url=https://abrasion-gusto-shelving.ngrok-free.dev
t=2026-04-23T14:47:46+0530 lvl=info msg=start pg=/api/tunnels id=e3343a33352bfacc
t=2026-04-23T14:47:46+0530 lvl=info msg=end pg=/api/tunnels id=e3343a33352bfacc status=200 dur=145.375µs
t=2026-04-23T14:50:47+0530 lvl=info msg="join connections" obj=join id=dcaeb0fe3513 l=127.0.0.1:8000 r=51.158.109.197:53656
t=2026-04-23T14:50:48+0530 lvl=info msg="join connections" obj=join id=ca7b0ca19f52 l=127.0.0.1:8000 r=51.158.109.197:51206
t=2026-04-23T14:50:50+0530 lvl=info msg="join connections" obj=join id=6228710e9157 l=127.0.0.1:8000 r=51.158.109.197:57834
t=2026-04-23T14:50:51+0530 lvl=info msg="join connections" obj=join id=075227b67fb2 l=127.0.0.1:8000 r=51.158.109.197:49334
t=2026-04-23T14:50:53+0530 lvl=info msg="join connections" obj=join id=7f1e43789b78 l=127.0.0.1:8000 r=51.158.109.197:55384
t=2026-04-23T14:50:54+0530 lvl=info msg="join connections" obj=join id=0960a2838059 l=127.0.0.1:8000 r=51.158.109.197:46232
t=2026-04-23T14:50:55+0530 lvl=info msg="join connections" obj=join id=30264876d308 l=127.0.0.1:8000 r=51.158.109.197:46242
t=2026-04-23T14:50:57+0530 lvl=info msg="join connections" obj=join id=b6e858fe0541 l=127.0.0.1:8000 r=51.158.109.197:49350
t=2026-04-23T14:50:58+0530 lvl=info msg="join connections" obj=join id=c93d3afba199 l=127.0.0.1:8000 r=51.158.109.197:43906
t=2026-04-23T14:50:59+0530 lvl=info msg="join connections" obj=join id=39bdd33dd3a6 l=127.0.0.1:8000 r=51.158.109.197:42180
t=2026-04-23T14:51:01+0530 lvl=info msg="join connections" obj=join id=b1165a6a6d4e l=127.0.0.1:8000 r=51.158.109.197:53740
t=2026-04-23T14:51:02+0530 lvl=info msg="join connections" obj=join id=f559beda75b3 l=127.0.0.1:8000 r=51.158.109.197:42192
t=2026-04-23T14:51:04+0530 lvl=info msg="join connections" obj=join id=f7e41c130ef1 l=127.0.0.1:8000 r=51.158.109.197:53742
t=2026-04-23T14:51:05+0530 lvl=info msg="join connections" obj=join id=a58b9970d433 l=127.0.0.1:8000 r=51.158.109.197:53752
t=2026-04-23T14:51:06+0530 lvl=info msg="join connections" obj=join id=bf1b04857710 l=127.0.0.1:8000 r=51.158.109.197:54038
t=2026-04-23T14:51:08+0530 lvl=info msg="join connections" obj=join id=12e6153ba80e l=127.0.0.1:8000 r=51.158.109.197:43306
t=2026-04-23T14:51:09+0530 lvl=info msg="join connections" obj=join id=607a1a364876 l=127.0.0.1:8000 r=51.158.109.197:56320
t=2026-04-23T14:51:11+0530 lvl=info msg="join connections" obj=join id=ef708ec8c737 l=127.0.0.1:8000 r=51.158.109.197:43314
t=2026-04-23T14:51:12+0530 lvl=info msg="join connections" obj=join id=f8a3e719b695 l=127.0.0.1:8000 r=51.158.109.197:52022
t=2026-04-23T14:51:13+0530 lvl=info msg="join connections" obj=join id=d7a7559366e8 l=127.0.0.1:8000 r=51.158.109.197:43324
t=2026-04-23T14:51:15+0530 lvl=info msg="join connections" obj=join id=97857fb6608d l=127.0.0.1:8000 r=51.158.109.197:42832
t=2026-04-23T14:51:17+0530 lvl=info msg="join connections" obj=join id=d7663e3ef206 l=127.0.0.1:8000 r=51.158.109.197:43326
t=2026-04-23T14:51:18+0530 lvl=info msg="join connections" obj=join id=715427b6ca77 l=127.0.0.1:8000 r=51.158.109.197:56026
t=2026-04-23T14:51:20+0530 lvl=info msg="join connections" obj=join id=9b37c4c76a54 l=127.0.0.1:8000 r=51.158.109.197:44512
t=2026-04-23T14:51:21+0530 lvl=info msg="join connections" obj=join id=f6d796fd96de l=127.0.0.1:8000 r=51.158.109.197:56040
t=2026-04-23T14:51:23+0530 lvl=info msg="join connections" obj=join id=86408a606fe5 l=127.0.0.1:8000 r=51.158.109.197:44516
t=2026-04-23T14:51:24+0530 lvl=info msg="join connections" obj=join id=9d4a3dcf7f78 l=127.0.0.1:8000 r=51.158.109.197:52528
t=2026-04-23T14:51:26+0530 lvl=info msg="join connections" obj=join id=e66166f1e507 l=127.0.0.1:8000 r=51.158.109.197:33822
t=2026-04-23T14:51:27+0530 lvl=info msg="join connections" obj=join id=cc8001c3121f l=127.0.0.1:8000 r=51.158.109.197:33830
t=2026-04-23T14:51:28+0530 lvl=info msg="join connections" obj=join id=03371b55db7a l=127.0.0.1:8000 r=51.158.109.197:35886
t=2026-04-23T14:51:30+0530 lvl=info msg="join connections" obj=join id=2981eb56e040 l=127.0.0.1:8000 r=51.158.109.197:56522
t=2026-04-23T14:51:31+0530 lvl=info msg="join connections" obj=join id=d008f9842b29 l=127.0.0.1:8000 r=51.158.109.197:35896
t=2026-04-23T14:51:33+0530 lvl=info msg="join connections" obj=join id=a8923c189fe2 l=127.0.0.1:8000 r=51.158.109.197:49848
t=2026-04-23T14:51:34+0530 lvl=info msg="join connections" obj=join id=8bf7df084ac8 l=127.0.0.1:8000 r=51.158.109.197:56538
t=2026-04-23T14:51:36+0530 lvl=info msg="join connections" obj=join id=36901488240b l=127.0.0.1:8000 r=51.158.109.197:35906
t=2026-04-23T14:51:37+0530 lvl=info msg="join connections" obj=join id=5f8846f3a0f9 l=127.0.0.1:8000 r=51.158.109.197:51896
t=2026-04-23T14:51:39+0530 lvl=info msg="join connections" obj=join id=2e1a7fd006c3 l=127.0.0.1:8000 r=51.158.109.197:35646
t=2026-04-23T14:51:40+0530 lvl=info msg="join connections" obj=join id=47d580b02966 l=127.0.0.1:8000 r=51.158.109.197:51904
